Book-Title,Rating-Count,Average-Rating,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M
Harry Potter and the Chamber of Secrets (Book 2),556,5.183453237410072,J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,4.895652173913043,J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
To Kill a Mockingbird,510,4.7,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
The Da Vinci Code,898,4.642538975501114,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,1295,4.468725868725869,Alice Sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
The Secret Life of Bees,774,4.447028423772609,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",493,4.354969574036511,MITCH ALBOM,1997,Doubleday,http://images.amazon.com/images/P/0385484518.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),723,4.334716459197787,Anita Diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
Girl with a Pearl Earring,526,4.218631178707224,Tracy Chevalier,2001,Plume Books,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),585,4.105982905982906,Billie Letts,1998,Warner Books,http://images.amazon.com/images/P/0446672211.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
Life of Pi,664,4.088855421686747,Yann Martel,2002,Harcourt,http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
Good in Bed,490,4.055102040816327,Jennifer Weiner,2002,Washington Square Press,http://images.amazon.com/images/P/0743418174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg
Me Talk Pretty One Day,457,3.7527352297593,David Sedaris,2001,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg
Timeline,552,3.75,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg
Angels &amp; Demons,670,3.708955223880597,Dan Brown,2001,Pocket Star,http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg
The Poisonwood Bible: A Novel,494,3.6093117408906883,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg
The Pilot's Wife : A Novel,568,3.5933098591549295,Anita Shreve,1999,Back Bay Books,http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg
1st to Die: A Novel,509,3.5756385068762278,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club),468,3.5705128205128207,Wally Lamb,1998,Pocket,http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg
The Notebook,650,3.56,Nicholas Sparks,1998,Warner Books,http://images.amazon.com/images/P/0446605239.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg
Interview with the Vampire,508,3.5511811023622046,Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg
The Nanny Diaries: A Novel,828,3.5301932367149758,Emma McLaughlin,2002,St. Martin's Press,http://images.amazon.com/images/P/0312278586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg
Bridget Jones's Diary,815,3.5276073619631902,Helen Fielding,1997,Picador (UK),http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg
Divine Secrets of the Ya-Ya Sisterhood: A Novel,740,3.437837837837838,Rebecca Wells,1997,Perennial,http://images.amazon.com/images/P/0060928336.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg
The Summons,655,3.43206106870229,John Grisham,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg
Jurassic Park,488,3.42827868852459,Michael Crichton,1999,Ballantine Books,http://images.amazon.com/images/P/0345370775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg
Summer Sisters,573,3.3612565445026177,Judy Blume,1998,Delacorte Press,http://images.amazon.com/images/P/0385324057.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg
The Partner,478,3.290794979079498,John Grisham,1997,Doubleday Books,http://images.amazon.com/images/P/0385472951.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg
Snow Falling on Cedars,662,3.2522658610271904,David Guterson,1994,Harcourt,http://images.amazon.com/images/P/0151001006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg
A Painted House,838,3.231503579952267,John Grisham,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg
Dreamcatcher,481,3.212058212058212,Stephen King,2001,Scribner,http://images.amazon.com/images/P/0743211383.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg
The Testament,617,3.179902755267423,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg
The Girls' Guide to Hunting and Fishing,573,3.1396160558464223,Melissa Bank,2000,Penguin Books,http://images.amazon.com/images/P/0140293248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg
A Time to Kill,549,3.122040072859745,JOHN GRISHAM,1992,Dell,http://images.amazon.com/images/P/0440211727.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg
The Client,483,3.0848861283643894,John Grisham,1993,Doubleday Books,http://images.amazon.com/images/P/038542471X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg
The Firm,569,3.0808435852372584,John Grisham,1991,Doubleday Books,http://images.amazon.com/images/P/0385416342.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg
The Joy Luck Club,555,3.0558558558558557,Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
The King of Torts,458,3.039301310043668,John Grisham,2003,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg
House of Sand and Fog,588,3.0306122448979593,Andre Dubus III,2000,Vintage Books,http://images.amazon.com/images/P/0375727345.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg
The Chamber,509,3.0157170923379173,John Grisham,1994,Doubleday Books,http://images.amazon.com/images/P/0385424728.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg
The Reader,466,3.0128755364806867,Bernhard Schlink,1997,Random House,http://images.amazon.com/images/P/0679442790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg
The Rainmaker,501,2.9221556886227544,JOHN GRISHAM,1996,Dell,http://images.amazon.com/images/P/044022165X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg
The Runaway Jury,520,2.8807692307692307,JOHN GRISHAM,1997,Dell,http://images.amazon.com/images/P/0440221471.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg
The Street Lawyer,545,2.851376146788991,JOHN GRISHAM,1999,Dell,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
The Brethren,556,2.8507194244604315,JOHN GRISHAM,2000,Doubleday,http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg
Message in a Bottle,496,2.778225806451613,Nicholas Sparks,1998,Warner Books,http://images.amazon.com/images/P/0446523569.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg
Hannibal,468,2.7606837606837606,Thomas Harris,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440224675.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg
The Horse Whisperer,507,2.6863905325443787,Nicholas Evans,1996,Dell,http://images.amazon.com/images/P/0440222656.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg
The Pelican Brief,581,2.6110154905335627,John Grisham,1993,Dell,http://images.amazon.com/images/P/0440214041.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg
Wild Animus,2502,1.0195843325339728,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
